,name,address
87,빌리엔젤 신라스테이점,서울 강남구 언주로 517 KT영동지사
88,아티제 GFC점,서울 강남구 테헤란로 152 강남파이낸스센터
89,스타벅스 구역삼사거리점,서울 강남구 논현로 401
90,시티갤러리카페 본점,서울 강남구 역삼로7길 22
91,커피빈 역삼포스틸타워뒷점,서울 강남구 테헤란로20길 10 쓰리엠타워
92,커피스미스 본사점,서울 강남구 테헤란로8길 25 1층
93,스타벅스 강남우성점,서울 강남구 강남대로 328
94,바나프레소 언주역점,서울 강남구 논현로 570
95,스타벅스 역삼아레나빌딩점,서울 강남구 언주로 425
96,스타벅스 국기원사거리점,서울 강남구 테헤란로 125
97,빽다방 강남역지하도점,서울 강남구 강남대로 396 강남역 지하쇼핑센터 E-36호
98,배스킨라빈스 SPC스퀘어점,서울 강남구 강남대로 352 (역삼동) 지상 2층
99,파리바게뜨 선릉아이타워점,서울 강남구 테헤란로 326 I-TOWER
100,모찌모찌브레드 역삼점,서울 강남구 언주로 314 1층 108호
101,썬더볼드 강남역점,서울 강남구 강남대로84길 15
102,카페아에 강남점,서울 강남구 논현로98길 34 1층
103,스타벅스 역삼럭키점,서울 강남구 도곡로 183
104,탐앤탐스 역삼2호점,서울 강남구 논현로 338
105,탐앤탐스 언주로점,서울 강남구 언주로97길 8 1층
106,커피빈 역삼동태광타워점,서울 강남구 테헤란로34길 6 태광타워 1층
107,스타벅스 선릉로점,서울 강남구 선릉로93길 22
108,스타벅스 아크로힐스논현점,서울 강남구 봉은사로 304
109,카페이퍼스 역삼점,서울 강남구 언주로69길 7 1층 카페이퍼스
110,파리바게뜨 역삼스타점,서울 강남구 논현로 429 C&C빌딩 1층
111,빽다방 역삼테헤란로점,서울 강남구 테헤란로10길 25 뜨라네상가
112,카페희다 역삼점,서울 강남구 역삼로25길 16 1층
113,차이들 언주점,서울 강남구 언주로107길 46 지하 1층 B01호
114,바비레드 강남본점,서울 강남구 봉은사로6길 39 바비레드
115,신동궁감자탕 역삼본점,서울 강남구 테헤란로10길 21
116,후추포인트,서울 강남구 봉은사로6길 30 1층
117,두껍삼 역삼직영점,서울 강남구 테헤란로8길 17
118,블루문 탭하우스,서울 강남구 언주로94길 5 1층 블루문탭하우스
119,가배도 신논현,서울 강남구 강남대로110길 13 2
120,대우부대찌개 강남본점,서울 강남구 테헤란로25길 34
121,돝고기506,서울 강남구 역삼로17길 53
122,감성타코 강남역점,서울 강남구 강남대로 406 지하1층 감성타코
123,파파야리프,서울 강남구 강남대로102길 29 번지 2층
124,구스아일랜드 브루하우스,서울 강남구 역삼로 118
125,떡도리탕 강남본점,서울 강남구 테헤란로1길 28-9 1층
126,60년전통신촌황소곱창 강남역직영점,서울 강남구 강남대로100길 13
127,아트몬스터 강남역점,서울 강남구 테헤란로1길 28-3
128,지아니스나폴리 역삼 본점,서울 강남구 논현로94길 15 B1층
129,마녀주방 강남점,서울 강남구 강남대로94길 9
130,타우너스 에스프레소 바,서울 강남구 테헤란로28길 41 타우너스 1층
131,오레노라멘 강남점,서울 강남구 테헤란로1길 28-9 2F
132,동두천솥뚜껑삼겹살 강남역점,서울 강남구 테헤란로1길 20 2층
133,위트앤미트 강남점,서울 강남구 강남대로110길 32 1층
134,칙바이칙 선릉역점,서울 강남구 선릉로 523 유림빌딩 1층
135,어글리스토브 신논현강남역점,서울 강남구 강남대로98길 20
136,미엔아이 천등,서울 강남구 봉은사로4길 32 1층
137,부엉이산장 강남점,서울 강남구 테헤란로1길 28-11 1층
138,천진영감,부산 부산진구 성지로122번길 21
139,나이쏘이 강남점,서울 강남구 강남대로102길 11 2층
140,소림마라 신논현점,서울 강남구 봉은사로2길 21 반석빌딩 지상1층(역삼동)
141,호미호식,서울 동대문구 답십리로 173-1
142,카페413프로젝트,서울 강남구 논현로97길 19-11
143,뽕사부 강남역점,서울 강남구 강남대로102길 15 지하1층
144,라그릴리아 SPC스퀘어점,서울 강남구 강남대로 352 SPC스퀘어 3층
145,버거스올마이티 강남역점,서울 강남구 봉은사로2길 31 1층
146,이름없는파스타 강남역점,서울 강남구 봉은사로6길 38 2층
147,마초쉐프 강남본점,서울 강남구 강남대로106길 29 1층
148,어거스트 힐 강남점,서울 강남구 강남대로106길 25
149,뽕족 강남역본점,서울 강남구 테헤란로4길 15 메가시티오피스텔 1층
150,브릭샌드 강남역점,서울 강남구 강남대로 396 강남역 신분당선 지하1층
151,농민백암순대,서울 영등포구 국회대로 780 엘지여의도에클라트
152,또보겠지떡볶이집 강남헬로몽키점,서울 강남구 봉은사로6길 30 2층
153,꼭그닭 강남점,서울 강남구 봉은사로4길 37 지하1층
154,파츠 강남N점,서울 강남구 테헤란로 129 강남N타워 B2층
155,스트릿 SPC스퀘어점,서울 강남구 역삼로1길 17 SPC스퀘어
156,이도곰탕 본점,서울 강남구 논현로94길 29-5
157,빠레뜨한남 강남CGV점,서울 강남구 강남대로102길 13 2층
158,봉우이층집,서울 강남구 봉은사로18길 76 스타 팰리스
159,평화다방 강남역점,서울 강남구 강남대로94길 10 2층
160,가가솥밥 강남점,서울 강남구 역삼로5길 19 1층
161,캐스터네츠 강남N점,서울 강남구 테헤란로 129 강남N타워 B2층
162,셀렉티드마롱 강남역점,서울 강남구 테헤란로4길 37 1F
163,베이커리로컬 강남역점,서울 강남구 강남대로102길 15
164,어퍼앤언더,서울 강남구 강남대로102길 28 지하1층
165,밸런스포케 역삼점,서울 강남구 강남대로94길 75 1층
166,고기싸롱 강남역점,서울 강남구 테헤란로1길 28-5 1층
167,한라맥주 강남점,서울 강남구 봉은사로18길 90 1층
168,도키메이테,대구 남구 명덕로 136-1 1층
