,name,address
389,반티엔야오 카오위 강남점,서울 서초구 서초대로73길 12 세계빌딩 1층
390,서울주막 강남역1호점,서울 서초구 서초대로73길 42 지하1층
391,믿을신돈까스,서울 서초구 서초중앙로 105 1층
392,서초면옥 서초본점,서울 서초구 반포대로28길 46
393,모범갈빗살 강남역본점,서울 서초구 서초대로73길 38
394,대나무골한정식,서울 서초구 법원로3길 15 영포빌딩
395,살롱드누아,서울 서초구 반포대로23길 13 1층 살롱드누아
396,돈블랑 서초교대역점,서울 서초구 서초대로 351
397,온달집 강남역점,서울 서초구 서초대로77길 27 1층
398,일품진진수라 강남점,서울 서초구 서초대로 254 지하2층
399,랜돌프비어 교대점,서울 서초구 서초대로46길 106
400,퀸즈가든 강남역점,서울 서초구 강남대로53길 7 강남애니타워 지하1층
401,브롱스 강남서초점,서울 서초구 강남대로65길 9 지하1층
402,천년식향,서울 서초구 효령로 316-1 3층
403,허수아비돈까스 본점,서울 서초구 반포대로 16 지하1층
404,스윗밸런스 교대역점,서울 서초구 서초대로 286 1층 스윗밸런스
405,심 이자카야 강남역점,서울 서초구 서초대로77길 9 강남누드죤빌딩 지하1층
406,요요마의키친,서울 서초구 반포대로 20 정주빌딩 1층
407,육통령 교대직영점,서울 서초구 반포대로20길 69 지온빌딩 1층 육통령
408,아비꼬 강남지웰타워점,서울 서초구 서초대로78길 36 강남지웰타워 101호
409,카츠공방 서초본점,서울 서초구 반포대로30길 53 1층 카츠공방
410,바스버거 서초교대점,서울 서초구 서초대로48길 15 서목빌딩 1층
411,아빠곰수제돈까스,서울 서초구 사평대로56길 7 서초한일유앤아이주상복합1층 112호
412,프레퍼스 다이어트 푸드 교대점,서울 서초구 서초중앙로22길 18 106호
413,배들어온집 교대점,서울 서초구 서초대로50길 39 문영빌딩 2층
414,강남복칼국수,서울 서초구 서초대로74길 23 서초타운트라팰리스
415,르떵하피네,서울 서초구 반포대로9길 70 1F
416,도야꽃집 교대점,서울 서초구 서초대로50길 79 도야꽃집 교대점
417,모랑해물솥밥 강남본점,서울 서초구 강남대로 359 대우도씨에빛2 2층
418,이자카야호주,경기 안산시 단원구 선부광장1로 66 1층 112
419,카츠네치킨 교대역본점,서울 서초구 반포대로30길 57 1층
420,잡어와묵은지,서울 서초구 서초대로74길 23 서초타운트라팰리스
421,인쌩맥주 강남점,서울 서초구 강남대로65길 7 1층
422,잠수부네 해산물실내포차 교대역점,서울 서초구 서초대로53길 7 효성빌딩 지하1층
423,고스트요거트 교대본점,서울 서초구 서초중앙로20길 37 1층 고스트요거트
424,김영모과자점 서초본점,서울 서초구 효령로 403 서초그랑몰 102호
425,푸른술집할라 강남점,서울 서초구 서초대로77길 43
426,돼지연구소 양재직영점,서울 서초구 강남대로45길 24
427,주다방 강남역점,서울 서초구 서초대로77길 41 2층
428,이여곰탕 본점,서울 서초구 서초대로46길 19-15 이여빌딩
429,이올로화덕피자,서울 서초구 강남대로39길 5 서초동두산위브
430,바바인디아 강남역점,서울 서초구 강남대로 359 도씨에빛 2차
431,딸부자네불백 강남역9번출구점,서울 서초구 서초대로77길 9
432,스시진수,충북 청주시 청원구 율봉로201번길 23
433,스타벅스 강남삼성타운점,서울 서초구 서초대로78길 24
434,미니말레 커피뢰스터 교대점,서울 서초구 서초대로51길 15 1층 미니말레 커피뢰스터
435,사푼사푼 강남역점,서울 서초구 강남대로 355 삼성화재서초사옥
436,연희동칼국수 강남역점,서울 서초구 서초대로 411 B1-3호
437,군선생 강남점,서울 서초구 강남대로55길 24 풍림아이원매직 지하1층
438,오늘통닭 강남역점,서울 서초구 서초대로74길 33 비트빌빌딩 1층
439,공단갈비꼬치 강남역점,서울 서초구 서초대로73길 42
440,됐소 강남점,서울 서초구 서초대로78길 46 익산빌딩 2
441,테라로사 예술의전당점,서울 서초구 남부순환로 2406 예술의전당
442,미정국수 강남역점,서울 서초구 서초대로77길 37 서초동월드1308상가
